series,total_return,ann_return,ann_vol,sharpe,max_drawdown,calmar,beta,treynor,jensen
portfolio,130.21%,146.77%,39.66%,3.7010,-14.61%,10.0452,1.0169,1.4434,-0.0982
ew_bnh,136.42%,154.00%,38.77%,3.9717,-14.51%,10.6126,1.0000,1.5400,0.0000
merval_usd,129.21%,58.23%,34.77%,1.6744,-24.79%,2.3488,0.6234,0.9339,0.2106
fima_acciones_usd,—,—,—,—,—,—,—,—,—
